name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,0,22,Private,2021-06-30-13-34,3,0,3,2,0,2,5,0,5,0,22,,,
AASTHA HOSPITAL,40,0,40,Private,2021-06-30-23-04,8,0,8,2,0,2,10,0,10,,,2,2,0
Ace Hospital,30,0,30,Private,2021-06-30-13-35,4,0,4,,,,4,0,4,,,26,0,26
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-06-30-21-44,,,,5,0,5,5,0,5,3,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-30-10-44,,,,,,,,,,5,0,,,
AIIMS Jhajjar,400,48,352,Central Government,2021-06-30-17-33,,,,100,48,52,100,48,52,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-06-30-16-39,,,,,,,,,,3,4,87,64,23
"AIIMS, Trauma Delhi",294,84,210,Central Government,2021-06-30-16-44,,,,71,37,34,71,37,34,,,,,
"Akash Healthcare, Dwarka",133,1,132,Private,2021-06-30-17-04,14,1,13,40,0,40,54,1,53,0,10,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-30-10-52,,,,,,,,,,7,0,,,
Alshifa Hospital,49,33,16,Private,2021-06-30-09-28,23,6,17,4,0,4,27,6,21,5,4,,,
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-07-01-04-44,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-30-23-43,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,0,40,Private,2021-06-30-19-57,3,0,3,2,0,2,5,0,5,1,23,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-06-30-16-51,4,0,4,,,,4,0,4,1,2,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-30-09-56,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,0,31,Private,2021-06-30-17-30,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-06-30-10-01,5,0,5,,,,5,0,5,0,6,,,
Arogya Hospital,6,0,6,Private,2021-06-30-11-22,6,0,6,,,,6,0,6,0,20,4,2,2
Arya Hospital,24,0,24,Private,2021-06-30-19-40,8,0,8,2,0,2,10,0,10,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-06-30-14-11,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-30-08-33,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-30-14-40,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-06-30-09-26,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",70,0,70,Private,2021-07-01-01-31,19,0,19,1,0,1,20,0,20,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-06-30-08-30,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",60,0,60,Private,2021-07-01-00-50,9,0,9,1,0,1,10,0,10,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,0,40,Private,2021-06-30-07-08,8,0,8,2,0,2,10,0,10,,,,,
