name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-05-01-06-59,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,102,102,0,Delhi Government,2021-04-30-17-03,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,593,593,0,Central Government,2021-05-01-08-42,,,,,,,50,50,0,50,50,0
AIIMS Main Delhi,100,90,10,Central Government,2021-04-30-16-34,23,20,3,86,33,53,,,,23,20,3
"AIIMS, Trauma Delhi",294,287,7,Central Government,2021-05-01-06-37,,,,,,,71,69,2,71,69,2
"Akash Healthcare, Dwarka",237,237,0,Private,2021-05-01-07-22,19,19,0,17,17,0,35,35,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-05-01-09-22,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-05-01-09-02,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-05-01-07-28,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-01-07-29,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,16,25,Private,2021-05-01-09-17,4,4,0,,,,,,,4,4,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-01-09-30,28,28,0,,,,2,2,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-01-07-52,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,43,0,Private,2021-05-01-08-15,9,9,0,1,0,1,1,1,0,10,10,0
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-01-07-23,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,245,5,Central Government,2021-05-01-09-31,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,493,490,3,Central Government,2021-05-01-07-06,,,,,,,50,50,0,50,50,0
Batra Hospital,285,285,0,Private,2021-05-01-08-26,23,23,0,12,12,0,15,15,0,38,38,0
"Bensups Hospital, Dwarka",40,31,9,Private,2021-05-01-07-51,12,12,0,,,,3,3,0,15,15,0
BH SALVAS HOSPITAL,50,16,34,Private,2021-04-30-18-09,12,4,8,,,,1,0,1,13,4,9
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-01-07-08,23,23,0,9,9,0,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",45,45,0,Private,2021-05-01-07-58,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",100,93,7,Private,2021-05-01-09-03,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",42,42,0,Private,2021-05-01-07-16,6,6,0,,,,,,,6,6,0
Bimla Devi Hospital,27,27,0,Private,2021-05-01-08-47,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",322,257,65,Private,2021-05-01-07-56,68,68,0,69,44,25,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-04-30-12-10,10,10,0,,,,1,1,0,11,11,0
Burari Hospital,370,370,0,Delhi Government,2021-04-30-16-28,40,40,0,,,,30,30,0,70,70,0
C M PATEL HOSPITAL,10,10,0,Private,2021-04-30-17-38,,,,,,,,,,,,
CBR Hospital,25,13,12,Private,2021-04-30-16-55,2,2,0,,,,1,1,0,3,3,0
"CD Global Hospital, Najafgarh Road",40,39,1,Private,2021-04-30-10-19,5,5,0,,,,1,1,0,6,6,0
Cronus Multi speciality Hospital,10,10,0,Private,2021-04-30-11-24,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",32,32,0,Private,2021-04-30-11-12,2,2,0,6,6,0,4,4,0,6,6,0
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-01-09-11,26,26,0,18,18,0,5,5,0,31,31,0
Deen Dayal Upadhyay hospital,310,310,0,Delhi Government,2021-05-01-08-07,130,130,0,33,22,11,50,50,0,180,180,0
Deep Chand Bandhu,230,230,0,Delhi Government,2021-05-01-06-04,67,67,0,,,,14,14,0,81,81,0
Delhi global hospital,14,0,14,Private,2021-04-29-12-36,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-04-30-15-10,24,24,0,12,12,0,3,3,0,27,27,0
Delhi multi speciality hospital,11,10,1,Private,2021-05-01-05-53,,,,,,,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",110,110,0,Private,2021-04-30-11-39,11,11,0,23,7,16,3,3,0,14,14,0
"Dharamvir Solanki Hospital, Rohini",16,16,0,Private,2021-04-30-20-44,7,7,0,,,,1,1,0,8,8,0
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",90,90,0,Private,2021-04-29-20-24,10,10,0,,,,2,2,0,12,12,0
Dr Baba Saheb Ambedkar Hospital,365,365,0,Delhi Government,2021-05-01-02-32,53,53,0,,,,30,30,0,83,83,0
Dr Rakesh Multispeciality Hospital,15,13,2,Private,2021-04-30-16-56,5,5,0,,,,1,1,0,6,6,0
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",30,30,0,Private,2021-04-30-17-47,,,,,,,,,,,,
East Delhi Medical Centre Mansarover Park,42,42,0,Private,2021-05-01-00-21,10,10,0,,,,,,,10,10,0
Ekansh Hospital,8,2,6,Private,2021-04-30-18-09,,,,,,,,,,,,
ESIC Hospital Jhilmil,60,60,0,Central Government,2021-04-28-14-56,,,,,,,5,5,0,5,5,0
ESIC hospital Okhla,230,230,0,Central Government,2021-04-30-15-10,,,,,,,10,10,0,10,10,0
"Fortis Escorts Heart Institute, Okhla",112,112,0,Private,2021-05-01-08-21,55,55,0,16,11,5,5,5,0,60,60,0
"Fortis Hospital, Shalimar Bagh",230,230,0,Private,2021-04-30-20-54,35,35,0,8,8,0,25,25,0,60,60,0
"Fortis SS Hospital, Vasant Kunj",106,106,0,Private,2021-05-01-08-24,28,28,0,,,,4,4,0,32,32,0
"Gandhi Nursing Home, Uttam Nagar",95,95,0,Private,2021-05-01-08-25,29,29,0,8,8,0,1,1,0,30,30,0
"Garg Hospital, Karkardooma",36,36,0,Private,2021-05-01-07-22,4,4,0,4,4,0,,,,4,4,0
"Goyal Hospital & Urology Centre, Krishna Nagar",70,70,0,Private,2021-05-01-06-24,12,12,0,8,8,0,5,5,0,17,17,0
"Goyal Hospital, Paschim Vihar",21,21,0,Private,2021-04-30-20-48,7,7,0,,,,,,,7,7,0
GTB Hospital,750,750,0,Delhi Government,2021-04-30-10-09,272,272,0,,,,128,128,0,400,400,0
"Gupta Multispecialty Hospital, Vivek Vihar",50,50,0,Private,2021-04-30-10-09,6,6,0,,,,,,,6,6,0
GURU NANAK EYE CENTRE ( ANNEXED TO LOK NAYAK HOSPITAL),198,50,148,Delhi Government,2021-05-01-07-28,,,,,,,,,,,,
"HAHC Hospital, Hamdard Nagar",376,124,252,Private,2021-05-01-07-50,21,21,0,6,2,4,8,8,0,29,29,0
Hardik Hospital,10,0,10,Private,2021-04-30-20-25,,,,,,,,,,,,
"Holy Family Hospital, Okhla",385,385,0,Private,2021-04-30-11-43,16,16,0,18,18,0,38,38,0,54,54,0
"IBS Hospital, Lajpat Nagar",39,39,0,Private,2021-05-01-07-51,10,10,0,,,,3,3,0,13,13,0
"Indian spinal injury centre,Vasant Kunj",160,160,0,Private,2021-04-30-21-18,10,10,0,9,3,6,4,4,0,14,14,0
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",465,465,0,Private,2021-05-01-07-25,88,88,0,81,81,0,12,12,0,100,100,0
"Irene Hospital, Kalkaji",34,34,0,Private,2021-04-30-12-10,3,3,0,,,,2,2,0,5,5,0
"Ishan Hospital, Rohini",16,16,0,Private,2021-05-01-08-10,5,5,0,,,,,,,5,5,0
"Jain Hospital, Vikas Marg Extn.",42,42,0,Private,2021-04-30-15-10,13,13,0,2,2,0,,,,13,13,0
"Jaipur Golden Hospital, Rohini",220,220,0,Private,2021-05-01-09-00,59,59,0,10,10,0,6,6,0,65,65,0
Janakpuri Super Speciality Hospital Society,15,15,0,Delhi Government,2021-05-01-08-28,15,15,0,,,,,,,15,15,0
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,58,2,Private,2021-05-01-08-02,8,8,0,,,,2,2,0,10,10,0
"Jeewan Mala Hospital, Rohtak Road",60,30,30,Private,2021-04-30-19-07,13,13,0,,,,3,3,0,16,16,0
"Jeewan Moti Khera Hospital, Nangloi",30,12,18,Private,2021-04-30-19-09,3,3,0,,,,1,1,0,4,4,0
"Jeewan Nursing Home, Gate No. 2",20,20,0,Private,2021-04-30-18-50,,,,2,2,0,1,1,0,,,
"Jeewan Nursing Home, Pusa Road",37,37,0,Private,2021-04-30-12-04,7,7,0,7,7,0,,,,7,7,0
K K Surgical & Maternity Centre,40,0,40,Private,2021-04-30-11-01,,,,,,,,,,,,
"Kalra Hospital, Dwarka",30,16,14,Private,2021-05-01-08-49,,,,6,6,0,,,,,,
"Kalra Hospital, Kirti Nagar",93,93,0,Private,2021-05-01-05-56,29,29,0,29,29,0,3,3,0,32,32,0
"Kapil Multispecialty Hospital, Nathupura",30,30,0,Private,2021-05-01-08-39,3,3,0,,,,1,1,0,4,4,0
