name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-05-07-19-59,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,130,80,50,Delhi Government,2021-05-07-22-13,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,445,445,0,Central Government,2021-05-07-19-15,,,,,,,100,100,0,100,100,0
AIIMS Main Delhi,287,209,78,Central Government,2021-05-07-16-07,71,67,4,72,37,35,,,,71,67,4
"AIIMS, Trauma Delhi",294,289,5,Central Government,2021-05-07-17-05,,,,,,,71,71,0,71,71,0
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-07-17-02,16,16,0,17,17,0,38,38,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-05-07-19-46,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,292,8,Delhi Government,2021-05-07-23-20,20,20,0,,,,,,,20,20,0
Angel Agasta Multispeciality Hospital,10,10,0,Private,2021-05-07-19-58,1,1,0,,,,,,,1,1,0
"Ansari Hospital, Sagarpur",40,30,10,Private,2021-05-07-20-31,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-07-17-10,4,4,0,4,4,0,,,,4,4,0
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,4,16,Private,2021-05-07-10-23,,,,,,,3,0,3,3,0,3
Ardent Ganpati,41,15,26,Private,2021-05-07-20-03,4,4,0,,,,,,,4,4,0
Arya Hospital,24,24,0,Private,2021-05-07-08-37,8,8,0,,,,2,2,0,10,10,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-07-22-17,23,23,0,,,,7,7,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-07-17-32,19,19,0,,,,1,1,0,20,20,0
