name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-04-11-09-39,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-04-11-10-21,,,,1,0,1,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-03-30-15-04,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-04-11-08-19,,,,,,,6,0,,,,,,
AIIMS Main Delhi,11,0,11,Central Government,2021-04-11-16-28,,,,,,,3,18,108,83,25,,,
"AIIMS, Trauma Delhi",21,0,21,Central Government,2021-04-11-17-00,,,,21,0,21,,,,,,21,0,21
"Akash Healthcare, Dwarka",20,0,20,Private,2021-04-11-17-42,3,0,3,5,0,5,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-04-11-09-38,3,0,3,5,0,5,5,0,11,3,8,2,0,2
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-04-12-04-31,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-04-05-10-17,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-04-11-20-15,3,0,3,3,0,3,1,23,5,3,2,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-04-11-09-27,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-04-11-09-39,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-04-08-14-34,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-04-11-11-00,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",11,0,11,Private,2021-04-12-00-50,2,0,2,3,0,3,0,18,20,20,0,1,0,1
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-04-12-03-44,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-04-11-12-36,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-04-11-07-15,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-04-11-10-04,,,,14,0,14,3,0,8,6,2,14,0,14
Base Hospital Delhi Cantt,500,2,498,Central Government,2021-04-11-06-29,,,,50,0,50,2,12,,,,50,0,50
Batra Hospital,50,0,50,Private,2021-04-11-10-10,9,0,9,11,0,11,0,23,99,36,63,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-04-11-11-01,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-04-11-10-37,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",34,0,34,Private,2021-04-11-18-04,6,0,6,7,0,7,2,13,3,3,0,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-31-08-54,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,0,10,Private,2021-04-11-13-37,2,0,2,3,0,3,0,10,17,14,3,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-04-11-17-27,1,0,1,1,0,1,6,12,5,3,2,,,
Bimla Devi Hospital,10,0,10,Private,2021-04-11-10-37,,,,,,,4,0,7,1,6,,,
"BLK Hospital, Pusa Road",47,0,47,Private,2021-04-12-03-32,9,0,9,12,0,12,3,0,106,106,0,3,0,3
"Brahm Shakti Hospital, Budh Vihar",40,0,40,Private,2021-04-11-10-11,4,0,4,5,0,5,2,12,7,5,2,1,0,1
Burari Hospital,600,0,600,Delhi Government,2021-04-11-11-51,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-04-11-10-25,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-04-11-17-23,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-04-12-00-37,,,,2,0,2,0,3,6,5,1,2,0,2
"Cygnus MLS, Rama Vihar",9,0,9,Private,2021-04-11-16-31,1,0,1,1,0,1,75,0,15,4,11,,,
"Cygnus Sonia Hospital, Nangloi",7,0,7,Private,2021-04-10-09-39,,,,1,0,1,0,17,18,11,7,1,0,1
Deen Dayal Upadhyay hospital,50,0,50,Delhi Government,2021-04-11-15-37,,,,,,,2,10,43,43,0,,,
Deep Chand Bandhu,50,0,50,Delhi Government,2021-04-11-11-18,,,,,,,3,15,10,6,4,,,
Delhi global hospital,3,0,3,Private,2021-04-11-07-30,3,0,3,3,0,3,1,23,4,1,3,,,
"Delhi Heart & Lung Institute, Pachkuian Road",10,0,10,Private,2021-04-11-11-22,1,0,1,2,0,2,5,18,37,15,22,1,0,1
Delhi multi speciality hospital,2,0,2,Private,2021-04-11-09-10,,,,,,,1,15,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",20,0,20,Private,2021-04-12-00-09,,,,5,0,5,1,8,21,20,1,5,0,5
"Dharamvir Solanki Hospital, Rohini",21,0,21,Private,2021-04-11-10-21,4,0,4,5,0,5,3,16,5,0,5,1,0,1
Divine Multispeciality Hospital and Cancer Centre,10,0,10,Private,2021-04-08-08-57,,,,,,,,,,,,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",22,0,22,Private,2021-04-11-08-49,,,,2,0,2,1,20,8,8,0,2,0,2
Dr Baba Saheb Ambedkar Hospital,50,0,50,Delhi Government,2021-04-11-08-24,,,,6,0,6,4,0,24,16,8,6,0,6
Dr Rakesh Multispeciality Hospital,2,0,2,Private,2021-04-11-08-57,,,,1,0,1,1,0,,,,1,0,1
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",20,0,20,Private,2021-04-11-23-19,,,,,,,7,0,,,,,,
East Delhi Medical Centre Mansarover Park,5,0,5,Private,2021-04-11-12-28,1,0,1,1,0,1,2,20,5,3,2,,,
ESIC Hospital Jhilmil,20,0,20,Central Government,2021-04-10-10-17,5,0,5,5,0,5,16,0,5,5,0,,,
ESIC hospital Okhla,48,0,48,Central Government,2021-04-11-09-34,,,,2,0,2,15,0,15,7,8,2,0,2
"Fortis Escorts Heart Institute, Okhla",31,0,31,Private,2021-04-11-16-15,4,0,4,7,0,7,2,3,16,13,3,3,0,3
"Fortis Hospital, Shalimar Bagh",26,0,26,Private,2021-04-11-09-06,4,0,4,6,0,6,2,23,72,64,8,2,0,2
"Fortis SS Hospital, Vasant Kunj",64,0,64,Private,2021-04-12-04-12,18,0,18,22,0,22,2,23,33,26,7,4,0,4
Galaxy Hospital,8,0,8,Private,2021-04-11-10-27,1,0,1,1,0,1,4,6,2,0,2,,,
