name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-03-04-09-40,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-03-05-09-30,1,0,1,1,0,1,2,0,5,2,3,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-03-05-08-57,,,,,,,6,0,,,,,,
"AIIMS, Trauma Delhi",11,0,11,Central Government,2021-03-05-06-38,,,,11,0,11,,,,,,11,0,11
"Akash Healthcare, Dwarka",20,0,20,Private,2021-03-04-09-28,5,0,5,7,0,7,0,16,44,31,13,2,0,2
Alshifa Hospital,18,0,18,Private,2021-03-05-10-05,6,0,6,8,0,8,4,0,14,2,12,2,0,2
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-03-05-05-42,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-03-05-08-08,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-03-05-07-24,3,0,3,3,0,3,1,23,5,5,0,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-03-05-09-38,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-03-05-09-42,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-03-05-00-24,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-03-05-09-01,,,,,,,,,,,,,,
"B.M. Gupta Hospital, Uttam Nagar",10,0,10,Private,2021-03-05-09-29,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-03-04-10-23,,,,,,,0,7,,,,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-03-05-09-53,,,,14,0,14,2,12,8,8,0,14,0,14
Base Hospital Delhi Cantt,44,1,43,Central Government,2021-03-05-10-27,,,,10,0,10,2,12,,,,10,0,10
Batra Hospital,50,0,50,Private,2021-03-05-01-35,9,0,9,11,0,11,0,23,99,37,62,2,0,2
"Bensups Hospital, Dwarka",25,0,25,Private,2021-03-04-09-39,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,28,1,27,Private,2021-03-04-10-10,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",9,0,9,Private,2021-03-05-06-50,2,0,2,3,0,3,2,23,7,5,2,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-31-08-54,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,0,10,Private,2021-03-05-09-43,2,0,2,3,0,3,0,10,17,14,3,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,1,13,Private,2021-03-05-13-38,1,0,1,1,0,1,6,12,5,0,5,,,
Bimla Devi Hospital,10,0,10,Private,2021-03-04-09-51,,,,,,,2,0,7,0,7,,,
"BLK Hospital, Pusa Road",47,0,47,Private,2021-03-05-10-34,9,0,9,12,0,12,1,0,150,141,9,3,0,3
"Brahm Shakti Hospital, Budh Vihar",9,0,9,Private,2021-03-04-11-51,,,,1,0,1,3,0,13,6,7,1,0,1
Burari Hospital,600,0,600,Delhi Government,2021-03-03-11-51,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-03-04-04-51,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-03-05-14-47,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-03-05-15-26,,,,2,0,2,0,4,6,3,3,2,0,2
"Cygnus Sonia Hospital, Nangloi",7,0,7,Private,2021-03-05-08-05,,,,1,0,1,0,17,18,12,6,1,0,1
Deen Dayal Upadhyay hospital,50,0,50,Delhi Government,2021-03-05-14-15,,,,,,,4,2,61,61,0,,,
Deep Chand Bandhu,50,0,50,Delhi Government,2021-03-04-11-36,,,,,,,3,15,10,7,3,,,
"Delhi Heart & Lung Institute, Pachkuian Road",10,0,10,Private,2021-03-05-08-37,1,0,1,2,0,2,1,12,37,24,13,1,0,1
Delhi multi speciality hospital,2,0,2,Private,2021-03-05-10-50,,,,,,,1,15,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",20,0,20,Private,2021-03-05-00-04,,,,5,0,5,,,21,0,21,5,0,5
"Dharamvir Solanki Hospital, Rohini",21,0,21,Private,2021-03-04-13-19,4,0,4,5,0,5,3,16,5,0,5,1,0,1
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",15,0,15,Private,2021-03-05-09-32,,,,2,0,2,1,20,8,8,0,2,0,2
Dr Baba Saheb Ambedkar Hospital,50,0,50,Delhi Government,2021-03-05-11-33,,,,12,0,12,4,0,19,12,7,12,0,12
East Delhi Medical Centre Mansarover Park,5,0,5,Private,2021-03-05-10-19,,,,,,,,,3,0,3,,,
ESIC Hospital Jhilmil,20,0,20,Central Government,2021-03-05-11-27,5,0,5,5,0,5,13,1,5,5,0,,,
ESIC hospital Okhla,20,0,20,Central Government,2021-03-05-11-07,,,,2,0,2,14,0,10,6,4,2,0,2
"Fortis Escorts Heart Institute, Okhla",31,0,31,Private,2021-03-05-09-35,5,0,5,8,0,8,2,3,16,12,4,3,0,3
"Fortis Hospital, Shalimar Bagh",26,0,26,Private,2021-03-05-10-06,4,0,4,6,0,6,3,23,72,65,7,2,0,2
"Fortis SS Hospital, Vasant Kunj",64,0,64,Private,2021-03-05-08-36,18,0,18,22,0,22,2,23,33,27,6,4,0,4
"Gandhi Nursing Home, Uttam Nagar",12,0,12,Private,2021-03-05-00-53,,,,4,0,4,1,12,15,0,15,4,0,4
"Garg Hospital, Karkardooma",5,0,5,Private,2021-03-04-09-52,,,,,,,7,0,4,1,3,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",20,0,20,Private,2021-03-05-11-07,4,0,4,4,0,4,1,23,10,7,3,,,
"Goyal Hospital, Paschim Vihar",5,0,5,Private,2021-03-05-10-12,,,,,,,0,12,,,,,,
GTB Hospital,450,1,449,Delhi Government,2021-03-04-08-53,,,,50,0,50,4,23,45,45,0,50,0,50
"Gupta Multispecialty Hospital, Vivek Vihar",20,0,20,Private,2021-03-05-09-28,2,0,2,2,0,2,3,23,4,0,4,,,
"HAHC Hospital, Hamdard Nagar",66,0,66,Private,2021-03-05-05-45,4,0,4,6,0,6,1,4,30,25,5,2,0,2
HANDA NURSING HOME,4,0,4,Private,2021-03-04-10-21,,,,,,,1,18,6,4,2,,,
Hardik Hospital,4,0,4,Private,2021-03-05-10-43,4,0,4,4,0,4,1,20,,,,,,
"Holy Family Hospital, Okhla",100,0,100,Private,2021-03-05-09-26,5,0,5,23,0,23,1,0,21,21,0,18,0,18
"Indian spinal injury centre,Vasant Kunj",20,1,19,Private,2021-03-05-01-03,,,,3,1,2,0,22,10,4,6,3,1,2
"Indira Gandhi Hospital, Dwarka",1241,1,1240,Delhi Government,2021-03-05-08-58,85,0,85,330,0,330,3,0,,,,245,0,245
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",62,0,62,Private,2021-03-05-11-29,7,0,7,12,0,12,11,0,163,144,19,5,0,5
"Ishan Hospital, Rohini",8,0,8,Private,2021-03-05-09-47,,,,,,,,,,,,,,
"Jain Hospital, Vikas Marg Extn.",2,0,2,Private,2021-03-05-10-38,,,,,,,1,23,4,2,2,,,
"Jaipur Golden Hospital, Rohini",29,0,29,Private,2021-03-05-00-11,10,0,10,11,0,11,0,23,44,44,0,1,0,1
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",10,0,10,Private,2021-03-05-11-29,1,0,1,2,0,2,6,22,,,,1,0,1
"Jeewan Mala Hospital, Rohtak Road",25,0,25,Private,2021-03-05-10-13,3,0,3,5,0,5,0,12,6,6,0,2,0,2
"Jeewan Moti Khera Hospital, Nangloi",2,0,2,Private,2021-03-05-12-00,,,,1,0,1,1,23,1,0,1,1,0,1
"Jeewan Nursing Home, Pusa Road",23,0,23,Private,2021-03-05-13-06,,,,2,0,2,0,23,4,4,0,2,0,2
Jivodaya Hospital,4,0,4,Private,2021-03-05-08-48,,,,,,,1,23,,,,,,
Kailash deepak Hospital,10,0,10,Private,2021-03-05-11-17,,,,10,0,10,79,10,16,10,6,10,0,10
Kalawati Saran Children's Hospital (LHMC),40,0,40,Central Government,2021-03-05-15-18,,,,10,0,10,3,12,35,35,0,10,0,10
"Kalra Hospital, Dwarka",5,0,5,Private,2021-03-05-07-06,,,,,,,5,0,6,6,0,,,
"Kalra Hospital, Kirti Nagar",11,0,11,Private,2021-03-05-10-45,3,0,3,4,0,4,1,12,39,39,0,1,0,1
Khandelwal Hospital And Urology Center,7,0,7,Private,2021-03-05-08-16,2,0,2,2,0,2,0,16,4,0,4,,,
khanna hospital,4,0,4,Private,2021-03-05-08-40,1,0,1,2,0,2,0,10,,,,1,0,1
"Konark Hospital, Nangloi",6,0,6,Private,2021-03-04-10-17,,,,,,,5,23,,,,,,
LHMC,516,5,511,Central Government,2021-03-05-08-42,,,,86,0,86,1,10,27,15,12,86,0,86
Lifeline Hospital,2,0,2,Private,2021-03-05-07-13,,,,,,,3,6,7,0,7,,,
Lok Nayak Hospital,450,0,450,Delhi Government,2021-03-05-09-19,128,0,128,178,0,178,3,0,98,93,5,50,0,50
Maha Durga Charitable Trust Hospital,66,0,66,Private,2021-03-02-09-31,11,0,11,20,0,20,10,20,10,0,10,9,0,9
"Maharaja Agrasen Hospital, Dwarka",12,0,12,Private,2021-03-04-10-40,1,0,1,2,0,2,,,10,10,0,1,0,1
"Maharaja Agrasen Hospital, Punjabi Bagh",30,0,30,Private,2021-03-05-10-45,7,0,7,9,0,9,8,2,54,54,0,2,0,2
Makkar Multispeciality Hospital,4,0,4,Private,2021-03-04-12-05,,,,,,,,,16,2,14,,,
Malik Radix Hospital,6,0,6,Private,2021-03-05-11-14,1,0,1,1,0,1,3,6,12,12,0,,,
"MANIPAL HOSPITAL, DWARKA",20,0,20,Private,2021-03-04-08-21,,,,7,0,7,3,0,38,28,10,7,0,7
"Mansaram Hospital, Nangloi",21,0,21,Private,2021-03-05-09-57,4,0,4,5,0,5,1,7,,,,1,0,1
"Mata Chanan Devi Hospital, Janakpuri",21,0,21,Private,2021-03-05-10-06,10,0,10,11,0,11,5,3,44,29,15,1,0,1
Max East/West Block,180,0,180,Private,2021-03-05-09-51,27,0,27,32,0,32,0,21,60,60,0,5,0,5
"Max Smart Gujarmal Modi hospital ,Saket",25,0,25,Private,2021-03-05-12-27,,,,7,0,7,2,16,45,25,20,7,0,7
"MAX SS HOSPITAL, PATPARGANJ",40,0,40,Private,2021-03-04-10-56,3,0,3,5,0,5,1,9,126,126,0,2,0,2
"Max SS Hospital, Shalimar Bagh",28,0,28,Private,2021-03-04-09-48,6,0,6,8,0,8,3,5,82,82,0,2,0,2
"Medeor Hospital, Dwarka",45,0,45,Private,2021-03-04-11-20,4,0,4,8,0,8,,,,,,4,0,4
"Medeor Hospital, Qutab Instl. Area",20,0,20,Private,2021-03-04-13-00,,,,2,0,2,0,23,8,0,8,2,0,2
"Metro Hospital, Preet Vihar",3,0,3,Private,2021-03-04-17-41,1,0,1,3,0,3,0,20,10,8,2,2,0,2
"MGS Hospital, Punjabi Bagh",10,0,10,Private,2021-03-05-10-05,,,,1,0,1,24,0,24,0,24,1,0,1
"Mool Chand Khairati Ram Hospital, Lajpat Nagar",14,0,14,Private,2021-03-05-13-30,,,,3,0,3,3,23,30,19,11,3,0,3
