name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-08-07-09,8,8,0,2,2,0,2,2,0,10,10,0,0,6
Acharyashree Bhikshu Govt. Hospital,130,80,50,Delhi Government,2021-05-08-06-30,13,13,0,,,,,,,13,13,0,0,20
AIIMS Jhajjar,444,444,0,Central Government,2021-05-08-08-29,,,,,,,100,100,0,100,100,0,0,12
AIIMS Main Delhi,287,209,78,Central Government,2021-05-07-16-07,71,67,4,72,37,35,,,,71,67,4,0,8
"AIIMS, Trauma Delhi",294,288,6,Central Government,2021-05-08-05-55,,,,,,,71,69,2,71,69,2,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-08-08-11,16,16,0,17,17,0,38,38,0,54,54,0,0,7
Alshifa Hospital,40,40,0,Private,2021-05-07-19-46,16,16,0,,,,3,3,0,19,19,0,1,9
Ambedkar Nagar hospital,300,292,8,Delhi Government,2021-05-08-06-31,20,20,0,,,,,,,20,20,0,0,12
Angel Agasta Multispeciality Hospital,10,8,2,Private,2021-05-08-07-19,1,1,0,,,,,,,1,1,0,0,8
"Ansari Hospital, Sagarpur",40,30,10,Private,2021-05-08-08-32,3,3,0,,,,2,2,0,5,5,0,1,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-08-07-35,4,4,0,4,4,0,,,,4,4,0,28,23
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,1,19,Private,2021-05-08-07-47,,,,,,,3,0,3,3,0,3,1,2
Ardent Ganpati,41,15,26,Private,2021-05-07-20-03,4,4,0,,,,,,,4,4,0,,
Arya Hospital,24,24,0,Private,2021-05-07-08-37,8,8,0,,,,2,2,0,10,10,0,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-08-07-20,23,23,0,,,,7,7,0,30,30,0,0,3
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-08-07-59,19,19,0,,,,1,1,0,20,20,0,0,9
"Bansal Global Hospital, Jahangirpuri",43,27,16,Private,2021-05-08-07-42,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-08-07-34,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,250,0,Central Government,2021-05-07-09-35,,,,,,,10,10,0,10,10,0,1,16
