name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-09-14-15,8,8,0,2,2,0,2,2,0,10,10,0,0,6
Acharyashree Bhikshu Govt. Hospital,130,70,60,Delhi Government,2021-05-09-14-21,7,7,0,,,,6,6,0,13,13,0,0,12
AIIMS Jhajjar,427,427,0,Central Government,2021-05-09-08-40,,,,,,,100,100,0,100,100,0,0,11
AIIMS Main Delhi,287,203,84,Central Government,2021-05-09-10-45,71,68,3,72,35,37,,,,71,68,3,0,6
"AIIMS, Trauma Delhi",294,286,8,Central Government,2021-05-09-05-52,,,,,,,71,68,3,71,68,3,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-09-14-15,16,16,0,17,17,0,38,38,0,54,54,0,0,6
Alshifa Hospital,43,43,0,Private,2021-05-09-11-26,16,16,0,,,,3,3,0,19,19,0,1,12
Ambedkar Nagar hospital,300,287,13,Delhi Government,2021-05-09-13-24,20,20,0,,,,,,,20,20,0,0,8
Angel Agasta Multispeciality Hospital,10,9,1,Private,2021-05-09-14-06,1,1,0,,,,,,,1,1,0,0,9
"Ansari Hospital, Sagarpur",40,30,10,Private,2021-05-09-11-28,3,3,0,,,,2,2,0,5,5,0,0,23
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-09-07-22,4,4,0,4,4,0,,,,4,4,0,1,0
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-09-07-46,,,,,,,3,0,3,3,0,3,,
Ardent Ganpati,31,16,15,Private,2021-05-09-12-15,4,4,0,,,,,,,4,4,0,,
Arya Hospital,24,24,0,Private,2021-05-09-08-55,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,2,13,Private,2021-05-09-13-41,,,,,,,,,,,,,,
Astha Hospital,10,0,10,Private,2021-05-09-10-35,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-09-14-31,23,23,0,,,,7,7,0,30,30,0,0,8
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-09-12-57,19,19,0,,,,1,1,0,20,20,0,0,8
"Bansal Global Hospital, Jahangirpuri",43,29,14,Private,2021-05-09-13-27,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-09-08-08,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,250,0,Central Government,2021-05-09-09-42,,,,,,,10,10,0,10,10,0,2,4
Base Hospital Delhi Cantt,500,500,0,Central Government,2021-05-09-08-10,,,,,,,50,50,0,50,50,0,1,12
Batra Hospital,260,260,0,Private,2021-05-09-08-45,23,23,0,12,12,0,15,15,0,38,38,0,0,12
"Bensups Hospital, Dwarka",40,36,4,Private,2021-05-09-12-47,12,12,0,,,,3,3,0,15,15,0,0,15
BH SALVAS HOSPITAL,40,12,28,Private,2021-05-09-09-35,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-09-05-59,23,23,0,,,,5,5,0,28,28,0,0,9
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,40,0,Private,2021-05-09-14-28,10,10,0,,,,1,1,0,11,11,0,0,8
"Bhagwati Hospital, Rohini",130,70,60,Private,2021-05-09-10-19,13,13,0,,,,2,2,0,15,15,0,0,7
"Bhatia Global Hospital, Paschim Vihar",36,31,5,Private,2021-05-09-11-44,8,8,0,,,,,,,8,8,0,0,4
Bimla Devi Hospital,27,25,2,Private,2021-05-09-14-10,,,,6,3,3,,,,,,,1,0
"BLK Hospital, Pusa Road",285,234,51,Private,2021-05-09-13-21,68,68,0,69,52,17,7,7,0,75,75,0,1,14
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-05-09-14-07,10,10,0,,,,1,1,0,11,11,0,0,2
Burari Hospital,370,316,54,Delhi Government,2021-05-09-07-38,40,40,0,,,,30,30,0,70,70,0,0,9
C M PATEL HOSPITAL,15,5,10,Private,2021-05-08-15-51,,,,,,,,,,,,,2,23
CAREWELL MEDICAL CENTRE,8,3,5,Private,2021-05-08-15-57,,,,,,,,,,,,,0,15
CBR Hospital,25,18,7,Private,2021-05-07-13-15,2,2,0,,,,1,1,0,3,3,0,1,8
"CD Global Hospital, Najafgarh Road",40,21,19,Private,2021-05-09-09-15,8,8,0,,,,1,1,0,9,9,0,1,0
Central Hospital,25,25,0,Private,2021-05-09-13-04,7,7,0,,,,1,1,0,8,8,0,0,2
Cronus Multi speciality Hospital,12,12,0,Private,2021-05-09-13-04,2,2,0,,,,,,,2,2,0,1,6
"Cygnus MLS, Rama Vihar",66,66,0,Private,2021-05-09-09-17,19,19,0,,,,5,5,0,24,24,0,0,4
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-09-14-30,26,26,0,,,,5,5,0,31,31,0,0,4
Deen Dayal Upadhyay hospital,400,382,18,Delhi Government,2021-05-09-12-53,130,130,0,33,22,11,50,50,0,180,180,0,0,2
Deep Chand Bandhu,230,225,5,Delhi Government,2021-05-09-13-56,67,67,0,,,,14,14,0,81,81,0,0,9
Delhi global hospital,14,7,7,Private,2021-05-09-09-51,,,,,,,,,,,,,1,18
"Delhi Heart & Lung Institute, Pachkuian Road",73,73,0,Private,2021-05-09-14-25,24,24,0,12,12,0,3,3,0,27,27,0,,
Delhi multi speciality hospital,11,4,7,Private,2021-05-09-05-03,,,,,,,,,,,,,1,15
"Dharamshila Narayana Hosp., Vasundhra Enclave",159,104,55,Private,2021-05-09-10-25,11,11,0,23,11,12,3,3,0,14,14,0,0,16
"Dharamvir Solanki Hospital, Rohini",24,24,0,Private,2021-05-09-13-53,10,10,0,,,,1,1,0,11,11,0,0,3
Divine Multispeciality Hospital and Cancer Centre,35,28,7,Private,2021-05-09-13-13,23,21,2,,,,7,7,0,30,28,2,0,8
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",90,90,0,Private,2021-05-09-11-14,10,10,0,,,,2,2,0,12,12,0,1,1
Dr Baba Saheb Ambedkar Hospital,400,387,13,Delhi Government,2021-05-09-14-27,150,150,0,,,,50,50,0,200,200,0,0,23
Dr Rakesh Multispeciality Hospital,15,11,4,Private,2021-05-09-10-42,5,5,0,,,,1,1,0,6,6,0,1,0
