name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,8,14,Private,2021-05-26-17-22,3,0,3,2,2,0,5,2,3,0,8,,,
AASTHA HOSPITAL,40,5,35,Private,2021-05-26-22-56,8,0,8,2,0,2,10,0,10,0,7,2,1,1
Ace Hospital,20,0,20,Private,2021-05-26-13-04,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,18,132,Delhi Government,2021-05-27-03-19,,,,30,8,22,30,8,22,2,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-05-26-14-14,,,,,,,,,,1,0,,,
AIIMS Jhajjar,400,169,231,Central Government,2021-05-26-17-49,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,302,133,169,Central Government,2021-05-26-17-48,29,23,6,43,37,6,72,60,12,0,13,72,40,32
"AIIMS, Trauma Delhi",294,239,55,Central Government,2021-05-26-16-12,,,,71,62,9,71,62,9,,,,,
"Akash Healthcare, Dwarka",133,118,15,Private,2021-05-26-22-32,14,14,0,40,40,0,54,54,0,0,21,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-05-26-11-08,,,,,,,,,,2,0,,,
Alshifa Hospital,50,19,31,Private,2021-05-26-12-44,15,12,3,4,3,1,19,15,4,1,19,,,
Ambedkar Nagar hospital,600,34,566,Delhi Government,2021-05-27-04-50,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-05-27-01-19,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,10,30,Private,2021-05-26-23-57,3,3,0,2,2,0,5,5,0,0,23,,,
"Apex City Hospital, West Vinod Nagar",28,2,26,Private,2021-05-27-00-28,4,0,4,,,,4,0,4,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-26-17-24,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,3,28,Private,2021-05-26-17-58,7,3,4,,,,7,3,4,,,,,
