name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-10-07-04,8,8,0,2,2,0,2,2,0,10,10,0,0,6
Acharyashree Bhikshu Govt. Hospital,130,73,57,Delhi Government,2021-05-10-07-28,7,7,0,,,,6,6,0,13,13,0,1,0
AIIMS Jhajjar,416,416,0,Central Government,2021-05-10-08-39,,,,,,,100,100,0,100,100,0,0,14
AIIMS Main Delhi,287,203,84,Central Government,2021-05-09-20-39,71,68,3,72,35,37,,,,71,68,3,0,14
"AIIMS, Trauma Delhi",294,291,3,Central Government,2021-05-10-05-59,,,,,,,71,70,1,71,70,1,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-10-07-32,16,16,0,17,17,0,38,38,0,54,54,0,0,6
Alshifa Hospital,43,43,0,Private,2021-05-10-08-35,16,15,1,,,,3,3,0,19,18,1,1,18
Ambedkar Nagar hospital,300,287,13,Delhi Government,2021-05-10-06-42,20,20,0,,,,,,,20,20,0,0,8
Angel Agasta Multispeciality Hospital,10,10,0,Private,2021-05-10-07-01,1,1,0,,,,,,,1,1,0,0,8
"Ansari Hospital, Sagarpur",40,30,10,Private,2021-05-10-07-34,3,3,0,,,,2,2,0,5,5,0,0,23
"Apex City Hospital, West Vinod Nagar",28,26,2,Private,2021-05-10-07-02,4,4,0,4,4,0,,,,4,4,0,0,3
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-05-10-07-54,,,,,,,3,0,3,3,0,3,,
Ardent Ganpati,31,15,16,Private,2021-05-09-17-05,4,4,0,,,,,,,4,4,0,,
Arogya Hospital,30,22,8,Private,2021-05-09-17-58,10,10,0,,,,,,,10,10,0,0,18
Arya Hospital,24,24,0,Private,2021-05-10-08-44,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,2,13,Private,2021-05-09-14-51,,,,,,,,,,,,,,
Astha Hospital,10,0,10,Private,2021-05-09-10-35,,,,10,0,10,,,,,,,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-10-07-37,23,23,0,,,,7,7,0,30,30,0,0,8
