name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,3,19,Private,2021-05-30-11-33,3,0,3,2,1,1,5,1,4,0,12,,,
AASTHA HOSPITAL,40,1,39,Private,2021-06-01-23-06,8,0,8,2,0,2,10,0,10,0,7,2,2,0
Ace Hospital,20,0,20,Private,2021-06-01-13-08,4,0,4,,,,4,0,4,,,16,0,16
Acharyashree Bhikshu Govt. Hospital,150,11,139,Delhi Government,2021-06-01-22-15,,,,30,7,23,30,7,23,2,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,12,0,12,Private,2021-06-01-15-55,,,,,,,,,,3,0,,,
AIIMS Jhajjar,400,125,275,Central Government,2021-06-01-17-45,,,,100,100,0,100,100,0,0,23,,,
AIIMS Main Delhi,302,86,216,Central Government,2021-06-01-17-42,29,18,11,43,37,6,72,55,17,3,19,72,46,26
"AIIMS, Trauma Delhi",294,205,89,Central Government,2021-06-01-16-37,,,,71,60,11,71,60,11,,,,,
"Akash Healthcare, Dwarka",133,79,54,Private,2021-06-01-21-24,14,14,0,40,40,0,54,54,0,0,8,17,17,0
All India Institute of Ayurveda,47,0,47, ,2021-06-01-10-50,,,,,,,,,,7,0,,,
Alshifa Hospital,50,17,33,Private,2021-06-01-11-20,15,6,9,4,3,1,19,9,10,0,17,,,
Ambedkar Nagar hospital,600,19,581,Delhi Government,2021-06-01-22-31,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-06-01-23-13,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",40,5,35,Private,2021-06-02-00-01,3,3,0,2,2,0,5,5,0,1,23,,,
"Apex City Hospital, West Vinod Nagar",28,1,27,Private,2021-06-01-22-03,4,2,2,,,,4,2,2,0,5,,,
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,0,20,Private,2021-06-01-09-23,,,,3,0,3,3,0,3,1,20,,,
Ardent Ganpati,31,1,30,Private,2021-06-01-17-34,7,1,6,,,,7,1,6,,,,,
ARK Hospital,30,0,30,Private,2021-06-01-12-07,5,0,5,,,,5,0,5,0,6,20,0,20
Arogya Hospital,6,0,6,Private,2021-06-01-13-56,6,0,6,,,,6,0,6,0,18,4,1,3
Arya Hospital,24,0,24,Private,2021-06-01-19-57,10,0,10,,,,10,0,10,4,0,,,
Ashray Medical Centre,12,0,12,Private,2021-06-01-23-08,2,0,2,,,,2,0,2,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-06-01-09-35,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-06-01-09-50,,,,,,,,,,,,10,0,10
"Ayushman Hospital, Dwarka",60,29,31,Private,2021-06-01-12-32,27,12,15,3,3,0,30,15,15,1,18,,,
"B.M. Gupta Hospital, Uttam Nagar",70,9,61,Private,2021-06-01-23-00,19,6,13,1,1,0,20,7,13,0,10,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-06-01-08-04,,,,,,,,,,2,0,,,
"Bansal Global Hospital, Jahangirpuri",60,1,59,Private,2021-06-01-14-13,9,0,9,1,0,1,10,0,10,0,7,1,0,1
"Bansal Hospital & Research Centre, New Friends Colony",40,1,39,Private,2021-06-01-07-10,8,0,8,2,0,2,10,0,10,,,,,
Bara Hindurao Hospital,250,29,221,Central Government,2021-06-01-10-00,,,,10,2,8,10,2,8,6,14,,,
Base Hospital Delhi Cantt,500,183,317,Central Government,2021-05-27-06-42,,,,50,48,2,50,48,2,2,12,,,
Batra Hospital,300,20,280,Private,2021-06-01-18-59,18,0,18,15,10,5,33,10,23,0,23,12,12,0
"Bensups Hospital, Dwarka",30,2,28,Private,2021-06-01-16-35,12,1,11,3,0,3,15,1,14,0,18,,,
BH SALVAS HOSPITAL,40,30,10,Private,2021-06-01-17-27,7,7,0,1,1,0,8,8,0,0,8,5,5,0
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,15,66,Private,2021-06-02-00-00,23,3,20,5,3,2,28,6,22,1,22,,,
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,12,28,Private,2021-06-01-22-46,10,10,0,1,1,0,11,11,0,0,12,,,
"Bhagwati Hospital, Rohini",130,3,127,Private,2021-06-01-17-28,13,1,12,2,0,2,15,1,14,0,7,,,
"Bhatia Global Hospital, Paschim Vihar",36,4,32,Private,2021-06-01-20-07,6,2,4,,,,6,2,4,0,6,,,
Bimla Devi Hospital,27,0,27,Private,2021-06-01-19-35,,,,,,,,,,4,0,3,2,1
"BLK Hospital, Pusa Road",317,45,272,Private,2021-06-01-23-30,64,14,50,11,11,0,75,25,50,2,5,43,43,0
"Brahm Shakti Hospital, Budh Vihar",80,0,80,Private,2021-06-01-20-01,9,0,9,2,0,2,11,0,11,2,12,2,2,0
Burari Hospital,700,55,645,Delhi Government,2021-06-01-20-14,85,25,60,30,30,0,115,55,60,1,8,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-06-01-07-21,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-01-10-39,,,,,,,,,,7,0,,,
CAREWELL MEDICAL CENTRE,8,1,7,Private,2021-06-01-12-15,,,,,,,,,,0,12,,,
CBR Hospital,25,10,15,Private,2021-06-01-11-26,3,3,0,,,,3,3,0,1,7,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-06-01-21-46,4,0,4,1,0,1,5,0,5,1,17,3,1,2
Central Hospital,16,5,11,Private,2021-06-01-21-14,,,,4,3,1,4,3,1,0,3,4,1,3
Covid care and treatment centre Gurdwara Rakab ganj,400,78,322,Delhi Government,2021-06-01-22-58,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,800,14,786,Delhi Government,2021-05-29-11-02,,,,,,,,,,19,0,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,56,540,Delhi Government,2021-06-01-12-51,,,,,,,,,,2,8,,,
Covid Care Center -CWG AKSHARDHAM,460,20,440,Delhi Government,2021-06-01-09-08,,,,,,,,,,5,23,,,
Cronus Multi speciality Hospital,10,0,10,Private,2021-06-01-23-03,5,0,5,,,,5,0,5,1,23,,,
"Cygnus MLS, Rama Vihar",60,8,52,Private,2021-06-01-19-24,23,5,18,1,1,0,24,6,18,0,3,,,
"Cygnus Sonia Hospital, Nangloi",68,8,60,Private,2021-06-01-22-55,26,2,24,5,3,2,31,5,26,0,17,,,
Deen Dayal Upadhyay hospital,500,135,365,Delhi Government,2021-06-01-23-35,120,31,89,130,72,58,250,103,147,0,12,33,2,31
Deep Chand Bandhu,250,62,188,Delhi Government,2021-06-01-23-50,100,29,71,30,20,10,130,49,81,0,7,,,
Delhi global hospital,14,3,11,Private,2021-06-01-16-42,3,1,2,,,,3,1,2,1,16,3,2,1
Delhi Golden Hospital,15,0,15,Private,2021-06-01-23-37,,,,,,,,,,1,1,,,
"Delhi Heart & Lung Institute, Pachkuian Road",73,43,30,Private,2021-06-01-23-31,22,17,5,5,3,2,27,20,7,1,11,12,12,0
Delhi multi speciality hospital,11,0,11,Private,2021-06-01-18-57,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",160,3,157,Private,2021-06-01-19-45,13,1,12,5,1,4,18,2,16,1,4,5,5,0
"Dharamvir Solanki Hospital, Rohini",34,3,31,Private,2021-06-01-10-54,9,2,7,2,1,1,11,3,8,0,8,,,
Divine Multispeciality Hospital and Cancer Centre,18,4,14,Private,2021-06-01-14-02,8,2,6,5,2,3,13,4,9,0,17,12,0,12
