name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,0,22,Private,2021-10-04-09-36,3,0,3,2,0,2,5,0,5,2,5,,,
AASTHA HOSPITAL,12,0,12,Private,2021-10-04-17-19,1,0,1,1,0,1,2,0,2,,,10,2,8
Ace Hospital,30,0,30,Private,2021-09-29-09-01,4,0,4,,,,4,0,4,,,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-10-04-12-26,,,,5,0,5,5,0,5,12,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-10-04-12-47,,,,,,,,,,6,0,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-10-04-17-15,,,,100,0,100,100,0,100,0,23,,,
"AIIMS, Trauma Delhi",94,4,90,Central Government,2021-10-04-17-07,,,,32,4,28,32,4,28,,,,,
"Akash Healthcare, Dwarka",60,0,60,Private,2021-10-04-14-57,30,0,30,10,0,10,40,0,40,0,16,28,0,28
All India Institute of Ayurveda,21,0,21, ,2021-10-04-09-34,,,,,,,,,,7,0,,,
Alshifa Hospital,18,0,18,Private,2021-10-04-10-03,4,0,4,2,0,2,6,0,6,14,0,11,7,4
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-10-04-16-46,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-10-04-16-45,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-10-04-13-31,,,,,,,,,,1,23,5,4,1
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-10-04-07-22,4,0,4,,,,4,0,4,1,0,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-10-04-10-01,5,0,5,,,,5,0,5,0,6,,,
Arya Hospital,24,0,24,Private,2021-10-04-08-31,10,0,10,2,0,2,12,0,12,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-10-04-09-58,,,,,,,,,,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-10-04-09-57,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-10-04-11-35,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-10-04-06-46,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-10-04-15-30,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-10-04-08-04,,,,,,,,,,,,,,
Bara Hindurao Hospital,250,1,249,Central Government,2021-10-04-09-54,,,,14,0,14,14,0,14,6,12,8,5,3
Base Hospital Delhi Cantt,500,9,491,Central Government,2021-10-04-06-48,,,,50,1,49,50,1,49,2,12,,,
Batra Hospital,148,0,148,Private,2021-10-04-09-46,3,0,3,5,0,5,8,0,8,0,23,52,49,3
"Bensups Hospital, Dwarka",30,0,30,Private,2021-10-04-08-42,12,0,12,3,0,3,15,0,15,5,10,,,
BH SALVAS HOSPITAL,10,0,10,Private,2021-10-04-08-40,2,0,2,1,0,1,3,0,3,0,20,10,0,10
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-10-04-08-35,13,0,13,2,0,2,15,0,15,0,10,5,5,0
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-10-04-17-17,1,0,1,,,,1,0,1,6,12,5,5,0
Bimla Devi Hospital,10,0,10,Private,2021-10-04-06-45,,,,,,,,,,4,0,6,0,6
"BLK Hospital, Pusa Road",140,2,138,Private,2021-10-04-16-01,21,0,21,7,0,7,28,0,28,6,0,90,90,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-10-04-10-06,3,0,3,1,0,1,4,0,4,2,12,17,11,6
Burari Hospital,300,0,300,Delhi Government,2021-10-04-16-16,70,0,70,30,0,30,100,0,100,7,12,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-10-04-10-09,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,7,0,,,
CBR Hospital,20,0,20,Private,2021-10-04-12-31,3,0,3,,,,3,0,3,,,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-10-04-17-17,5,0,5,1,0,1,6,0,6,1,19,3,0,3
Central Hospital,16,0,16,Private,2021-10-04-16-36,,,,4,0,4,4,0,4,0,3,4,4,0
Chaudhri Bram Prakash Aurvedic Charak Sansthan,100,0,100,Delhi Government,2021-10-04-12-31,,,,,,,,,,41,0,,,
Coaches Covid Care Centre- Shakurbasti Railway,800,0,800,Central Government,2021-07-08-07-26,,,,,,,,,,,,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,0,50,Delhi Government,2021-10-04-09-00,,,,,,,,,,27,13,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,1,595,Delhi Government,2021-10-04-09-40,,,,,,,,,,2,13,,,
covid care center-Sultanpuri,1200,2,1198,Delhi Government,2021-10-04-11-23,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,0,50,Delhi Government,2021-10-04-09-22,,,,,,,,,,5,23,,,
Covid Care Center Narela,50,0,50,Delhi Government,2021-10-04-08-25,,,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",27,0,27,Private,2021-10-04-07-15,,,,5,0,5,5,0,5,2,0,19,9,10
"Cygnus Sonia Hospital, Nangloi",21,0,21,Private,2021-10-04-17-13,4,0,4,1,0,1,5,0,5,0,17,18,12,6
Deen Dayal Upadhyay hospital,100,9,91,Delhi Government,2021-10-04-16-04,,,,25,8,17,25,8,17,1,2,43,43,0
Deep Chand Bandhu,100,0,100,Delhi Government,2021-10-04-16-23,5,0,5,20,0,20,25,0,25,4,21,10,2,8
Delhi global hospital,3,0,3,Private,2021-10-04-08-30,3,0,3,,,,3,0,3,1,23,4,1,3
