name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,22,0,22,Private,2021-09-04-09-30,3,0,3,2,0,2,5,0,5,2,5,,,
AASTHA HOSPITAL,12,0,12,Private,2021-09-04-17-16,1,0,1,1,0,1,2,0,2,,,10,2,8
Ace Hospital,30,0,30,Private,2021-09-04-09-02,4,0,4,,,,4,0,4,,,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-09-04-13-09,,,,5,0,5,5,0,5,12,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-09-04-13-02,,,,,,,,,,6,0,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-09-04-07-39,,,,100,0,100,100,0,100,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-09-04-16-55,,,,,,,,,,5,0,92,79,13
"AIIMS, Trauma Delhi",294,9,285,Central Government,2021-09-04-16-53,,,,71,9,62,71,9,62,,,,,
"Akash Healthcare, Dwarka",60,0,60,Private,2021-09-04-17-27,30,0,30,10,0,10,40,0,40,0,16,28,0,28
All India Institute of Ayurveda,21,0,21, ,2021-09-04-10-02,,,,,,,,,,7,0,,,
Alshifa Hospital,18,0,18,Private,2021-09-04-09-50,4,0,4,2,0,2,6,0,6,20,0,11,5,6
Ambedkar Nagar hospital,200,0,200,Delhi Government,2021-09-04-16-17,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-09-04-15-50,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-09-04-12-46,,,,,,,,,,1,23,5,0,5
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-09-04-09-54,4,0,4,,,,4,0,4,1,0,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-09-04-08-06,5,0,5,,,,5,0,5,0,6,,,
Arya Hospital,24,0,24,Private,2021-09-04-08-42,10,0,10,2,0,2,12,0,12,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-09-04-11-21,,,,,,,,,,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-09-04-08-57,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-09-04-10-45,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-09-04-04-51,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-09-04-16-09,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-09-04-08-02,,,,,,,,,,,,,,
Bara Hindurao Hospital,250,1,249,Central Government,2021-09-04-09-37,,,,14,0,14,14,0,14,2,18,4,3,1
Base Hospital Delhi Cantt,500,15,485,Central Government,2021-09-04-07-51,,,,50,1,49,50,1,49,2,12,,,
Batra Hospital,148,0,148,Private,2021-09-04-10-12,3,0,3,5,0,5,8,0,8,0,23,52,37,15
"Bensups Hospital, Dwarka",30,0,30,Private,2021-09-04-09-00,12,0,12,3,0,3,15,0,15,5,10,,,
BH SALVAS HOSPITAL,10,0,10,Private,2021-09-04-12-22,2,0,2,1,0,1,3,0,3,0,20,10,0,10
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-09-04-08-45,13,0,13,2,0,2,15,0,15,0,10,5,5,0
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-09-04-17-16,1,0,1,,,,1,0,1,6,12,5,3,2
Bimla Devi Hospital,10,0,10,Private,2021-09-04-08-46,,,,,,,,,,4,0,6,0,6
"BLK Hospital, Pusa Road",140,0,140,Private,2021-09-04-15-30,21,0,21,7,0,7,28,0,28,7,0,90,90,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-09-04-11-19,5,0,5,1,0,1,6,0,6,2,12,17,8,9
Burari Hospital,300,1,299,Delhi Government,2021-09-04-08-02,70,1,69,30,0,30,100,1,99,7,12,,,
C M PATEL HOSPITAL,15,0,15,Private,2021-09-04-10-54,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,7,0,,,
CBR Hospital,20,0,20,Private,2021-09-04-12-29,3,0,3,,,,3,0,3,,,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-09-04-17-01,5,0,5,1,0,1,6,0,6,1,19,3,0,3
Central Hospital,16,0,16,Private,2021-09-04-17-05,,,,4,0,4,4,0,4,0,3,4,4,0
Chaudhri Bram Prakash Aurvedic Charak Sansthan,100,0,100,Delhi Government,2021-09-04-11-13,,,,,,,,,,41,0,,,
Coaches Covid Care Centre- Shakurbasti Railway,800,0,800,Central Government,2021-07-08-07-26,,,,,,,,,,,,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,0,50,Delhi Government,2021-09-04-09-06,,,,,,,,,,27,13,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,2,594,Delhi Government,2021-09-04-10-23,,,,,,,,,,2,14,,,
covid care center-Sultanpuri,1200,0,1200,Delhi Government,2021-09-04-11-07,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,0,50,Delhi Government,2021-09-04-10-08,,,,,,,,,,5,23,,,
Covid Care Center Narela,50,0,50,Delhi Government,2021-09-04-07-24,,,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",27,0,27,Private,2021-09-04-17-14,,,,5,0,5,5,0,5,1,6,19,9,10
"Cygnus Sonia Hospital, Nangloi",21,0,21,Private,2021-09-04-17-28,4,0,4,1,0,1,5,0,5,0,17,18,9,9
Deen Dayal Upadhyay hospital,100,6,94,Delhi Government,2021-09-04-15-59,,,,25,6,19,25,6,19,1,2,43,43,0
Deep Chand Bandhu,100,0,100,Delhi Government,2021-09-04-16-45,5,0,5,20,0,20,25,0,25,4,0,10,5,5
Delhi global hospital,3,0,3,Private,2021-09-04-08-22,3,0,3,,,,3,0,3,1,23,4,1,3
"Delhi Heart & Lung Institute, Pachkuian Road",30,0,30,Private,2021-09-04-10-40,3,0,3,2,0,2,5,0,5,2,7,34,14,20
Delhi multi speciality hospital,2,0,2,Private,2021-09-04-05-43,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",103,0,103,Private,2021-09-04-16-41,13,0,13,5,0,5,18,0,18,1,8,8,8,0
"Dharamvir Solanki Hospital, Rohini",5,0,5,Private,2021-09-04-10-32,4,0,4,1,0,1,5,0,5,0,23,5,1,4
Divine Multispeciality Hospital and Cancer Centre,18,0,18,Private,2021-09-04-13-26,14,0,14,,,,14,0,14,4,22,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",20,0,20,Private,2021-09-04-10-39,,,,2,0,2,2,0,2,1,20,8,8,0
Dr Baba Saheb Ambedkar Hospital,100,11,89,Delhi Government,2021-09-04-10-01,,,,25,10,15,25,10,15,1,7,12,10,2
Dr Rakesh Multispeciality Hospital,15,0,15,Private,2021-09-04-06-40,6,0,6,,,,6,0,6,,,,,
Ekansh Hospital,8,0,8,Private,2021-09-04-12-14,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,18,0,18,Central Government,2021-09-04-11-21,,,,,,,,,,3,20,5,5,0
ESIC hospital Okhla,20,0,20,Central Government,2021-09-04-10-12,,,,2,0,2,2,0,2,5,5,15,4,11
"Fortis Escorts Heart Institute, Okhla",112,0,112,Private,2021-09-04-16-09,55,0,55,5,0,5,60,0,60,2,3,16,14,2
"Fortis Hospital, Shalimar Bagh",78,0,78,Private,2021-09-04-10-21,15,0,15,5,0,5,20,0,20,5,23,48,48,0
"Fortis SS Hospital, Vasant Kunj",48,0,48,Private,2021-09-04-16-56,14,0,14,4,0,4,18,0,18,2,23,37,25,12
Galaxy Hospital,8,0,8,Private,2021-09-04-10-33,2,0,2,,,,2,0,2,5,0,1,0,1
"Gandhi Nursing Home, Uttam Nagar",25,0,25,Private,2021-09-04-08-09,6,0,6,2,0,2,8,0,8,1,12,15,15,0
"Garg Hospital, Karkardooma",36,0,36,Private,2021-09-04-15-47,4,0,4,,,,4,0,4,7,0,,,
GNS Multispeciality Hospital,6,0,6,Private,2021-07-29-13-47,,,,,,,,,,,,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",14,0,14,Private,2021-09-04-09-39,3,0,3,1,0,1,4,0,4,1,23,10,6,4
"Goyal Hospital, Paschim Vihar",10,0,10,Private,2021-09-04-17-21,,,,,,,,,,0,12,7,2,5
GTB Hospital,600,2,598,Delhi Government,2021-09-04-17-12,410,0,410,140,2,138,550,2,548,4,17,8,8,0
Gupta Multispecialty Hospital,14,0,14,Private,2021-09-04-01-44,,,,,,,,,,2,0,4,0,4
"Gupta Multispecialty Hospital, Vivek Vihar",20,0,20,Private,2021-09-04-10-08,4,0,4,,,,4,0,4,3,23,2,0,2
"HAHC Hospital, Hamdard Nagar",141,0,141,Private,2021-09-04-01-03,4,0,4,8,0,8,12,0,12,1,4,29,8,21
HANDA NURSING HOME,12,0,12,Private,2021-09-04-13-38,,,,,,,,,,1,18,6,0,6
Hardik Hospital,10,0,10,Private,2021-09-04-07-58,4,0,4,,,,4,0,4,1,20,,,
Highland Care Multispeciality Hospital,20,0,20,Private,2021-09-04-11-19,5,0,5,,,,5,0,5,0,15,,,
Hira’s Multispeciality Hospital,15,0,15,Private,2021-09-04-08-44,,,,,,,,,,0,12,,,
"Holy Family Hospital, Okhla",100,1,99,Private,2021-09-04-09-38,,,,14,1,13,14,1,13,0,20,18,0,18
"IBS Hospital, Lajpat Nagar",7,0,7,Private,2021-09-04-11-41,,,,,,,,,,0,6,10,4,6
"Indian spinal injury centre,Vasant Kunj",60,0,60,Private,2021-09-04-15-53,,,,9,0,9,9,0,9,1,9,10,10,0
"Indira Gandhi Hospital, Dwarka",250,6,244,Delhi Government,2021-09-04-09-35,,,,15,0,15,15,0,15,5,0,250,0,250
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",215,2,213,Private,2021-09-04-11-34,32,0,32,12,1,11,44,1,43,4,0,117,115,2
"Irene Hospital, Kalkaji",34,0,34,Private,2021-09-04-09-46,3,0,3,2,0,2,5,0,5,2,0,,,
"Ishan Hospital, Rohini",13,0,13,Private,2021-09-04-13-19,5,0,5,,,,5,0,5,0,23,2,0,2
"Jaipur Golden Hospital, Rohini",72,16,56,Private,2021-09-04-10-33,8,8,0,4,2,2,12,10,2,0,16,73,33,40
"Jeevan Anmol Hospital, Mayur Vihar Phase-I",60,1,59,Private,2021-09-04-11-29,8,0,8,2,0,2,10,0,10,3,18,,,
"Jeewan Moti Khera Hospital, Nangloi",30,0,30,Private,2021-09-04-17-13,4,0,4,1,0,1,5,0,5,1,23,2,0,2
Jivodaya Hospital,20,0,20,Private,2021-09-04-10-47,,,,,,,,,,1,23,,,
Jyoti Nursing Home,22,0,22,Private,2021-09-04-07-30,,,,,,,,,,1,11,,,
Kalawati Saran Children's Hospital (LHMC),34,17,17,Central Government,2021-09-04-10-12,,,,5,5,0,5,5,0,4,8,35,34,1
