name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-07-04-08-46,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,5,0,5,Private,2021-07-04-09-27,1,0,1,1,0,1,2,0,5,2,3,,,
Ace Hospital,6,0,6,Private,2021-06-02-15-13,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-07-04-08-39,,,,,,,6,0,,,,,,
AIIMS Main Delhi,33,11,22,Central Government,2021-07-04-11-02,,,,,,,4,8,108,85,23,,,
"AIIMS, Trauma Delhi",21,0,21,Central Government,2021-07-04-17-16,,,,21,0,21,,,,,,21,0,21
"Akash Healthcare, Dwarka",20,3,17,Private,2021-07-04-09-26,8,0,8,10,0,10,0,16,44,31,13,2,0,2
Alshifa Hospital,18,1,17,Private,2021-07-04-09-59,3,0,3,5,0,5,5,0,11,3,8,2,0,2
Ambedkar Nagar hospital,200,1,199,Delhi Government,2021-07-05-03-29,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-07-04-08-27,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",10,0,10,Private,2021-07-04-07-51,3,0,3,3,0,3,1,23,5,3,2,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-07-04-09-32,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
Arya Hospital,24,0,24,Private,2021-07-04-11-37,8,0,8,10,0,10,,,10,0,10,2,0,2
Ashray Medical Centre,1,0,1,Private,2021-07-04-12-04,,,,,,,1,23,,,,,,
Astha Hospital,10,0,10,Private,2021-07-04-11-13,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",11,0,11,Private,2021-07-05-01-36,2,0,2,3,0,3,0,18,20,20,0,1,0,1
"B.M. Gupta Hospital, Uttam Nagar",10,1,9,Private,2021-07-04-19-38,1,0,1,2,0,2,0,23,16,0,16,1,0,1
"Bansal Global Hospital, Jahangirpuri",20,0,20,Private,2021-07-04-11-16,,,,,,,0,7,,,,,,
"Bansal Hospital & Research Centre, New Friends Colony",20,0,20,Private,2021-06-30-08-37,4,0,4,4,0,4,1,0,6,4,2,,,
Bara Hindurao Hospital,250,0,250,Central Government,2021-07-04-09-27,,,,14,0,14,4,12,8,6,2,14,0,14
Base Hospital Delhi Cantt,500,8,492,Central Government,2021-07-04-11-44,,,,50,0,50,2,12,,,,50,0,50
Batra Hospital,50,1,49,Private,2021-07-04-09-16,9,0,9,11,1,10,0,23,99,36,63,2,1,1
"Bensups Hospital, Dwarka",25,0,25,Private,2021-07-04-10-28,7,0,7,10,0,10,5,10,5,0,5,3,0,3
BH SALVAS HOSPITAL,22,1,21,Private,2021-07-04-08-38,5,0,5,7,0,7,4,20,7,0,7,2,0,2
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",9,1,8,Private,2021-07-04-18-14,2,0,2,3,0,3,2,13,7,3,4,1,0,1
"Bhagwan Mahavir Hospital, Madhuban Chowk",5,0,5,Private,2021-03-31-08-54,1,0,1,1,0,1,0,20,10,0,10,,,
"Bhagwati Hospital, Rohini",10,1,9,Private,2021-07-04-17-09,2,0,2,3,0,3,0,10,17,12,5,1,0,1
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-07-04-05-53,,,,,,,6,12,5,1,4,,,
Bimla Devi Hospital,10,0,10,Private,2021-07-04-09-22,,,,,,,2,0,7,0,7,,,
"BLK Hospital, Pusa Road",47,4,43,Private,2021-07-05-03-33,9,1,8,12,1,11,1,0,106,100,6,3,0,3
"Brahm Shakti Hospital, Budh Vihar",35,0,35,Private,2021-06-14-10-50,,,,,,,2,12,,,,,,
Burari Hospital,600,3,597,Delhi Government,2021-07-04-10-03,70,0,70,100,0,100,7,12,,,,30,0,30
C M PATEL HOSPITAL,3,0,3,Private,2021-07-04-12-14,,,,,,,2,23,,,,,,
"CD Global Hospital, Najafgarh Road",20,0,20,Private,2021-07-04-14-35,5,0,5,6,0,6,3,2,3,0,3,1,0,1
Central Hospital,4,0,4,Private,2021-07-05-00-39,,,,2,0,2,0,4,6,6,0,2,0,2
"Cygnus MLS, Rama Vihar",9,0,9,Private,2021-07-04-17-42,1,0,1,1,0,1,75,0,15,12,3,,,
"Cygnus Sonia Hospital, Nangloi",7,0,7,Private,2021-07-04-11-05,,,,1,0,1,0,17,18,15,3,1,0,1
Deen Dayal Upadhyay hospital,50,0,50,Delhi Government,2021-07-04-15-58,,,,,,,4,2,61,61,0,,,
Deep Chand Bandhu,50,3,47,Delhi Government,2021-07-04-10-16,,,,,,,3,15,10,7,3,,,
Delhi global hospital,3,0,3,Private,2021-07-04-09-08,3,0,3,3,0,3,1,23,4,1,3,,,
"Delhi Heart & Lung Institute, Pachkuian Road",10,0,10,Private,2021-07-04-10-30,1,0,1,2,0,2,3,20,37,22,15,1,0,1
Delhi multi speciality hospital,2,0,2,Private,2021-07-04-08-44,,,,,,,1,15,,,,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",20,0,20,Private,2021-07-04-15-52,,,,5,0,5,1,8,21,20,1,5,0,5
"Dharamvir Solanki Hospital, Rohini",21,0,21,Private,2021-07-04-10-00,4,0,4,5,0,5,3,16,5,0,5,1,0,1
Divine Multispeciality Hospital and Cancer Centre,10,0,10,Private,2021-07-04-09-31,,,,,,,,,,,,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",15,0,15,Private,2021-07-04-08-15,,,,2,0,2,1,20,8,8,0,2,0,2
Dr Baba Saheb Ambedkar Hospital,50,0,50,Delhi Government,2021-07-04-10-35,,,,6,0,6,4,0,19,14,5,6,0,6
Dr Rakesh Multispeciality Hospital,2,0,2,Private,2021-07-04-09-21,,,,1,0,1,1,0,,,,1,0,1
"Dr. Chaudhary Moral Hospital, Yamuna Vihar",20,0,20,Private,2021-07-04-09-29,,,,,,,1,11,,,,,,
East Delhi Medical Centre Mansarover Park,5,0,5,Private,2021-07-04-10-28,,,,,,,1,20,5,3,2,,,
ESIC Hospital Jhilmil,20,0,20,Central Government,2021-07-04-10-21,5,0,5,5,0,5,17,8,5,5,0,,,
ESIC hospital Okhla,22,0,22,Central Government,2021-07-04-09-52,,,,2,0,2,13,0,15,4,11,2,0,2
"Fortis Escorts Heart Institute, Okhla",31,2,29,Private,2021-07-04-16-29,4,0,4,7,0,7,2,3,16,13,3,3,0,3
"Fortis Hospital, Shalimar Bagh",26,3,23,Private,2021-07-04-10-02,4,1,3,6,2,4,3,23,72,66,6,2,1,1
"Fortis SS Hospital, Vasant Kunj",64,6,58,Private,2021-07-04-23-12,18,2,16,22,2,20,2,23,33,28,5,4,0,4
"Gandhi Nursing Home, Uttam Nagar",6,0,6,Private,2021-07-04-09-55,1,0,1,2,0,2,1,12,15,0,15,1,0,1
"Garg Hospital, Karkardooma",5,0,5,Private,2021-07-04-19-16,,,,,,,7,0,4,3,1,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",20,0,20,Private,2021-07-04-11-13,4,0,4,4,0,4,1,23,10,3,7,,,
"Goyal Hospital, Paschim Vihar",5,0,5,Private,2021-07-04-17-21,,,,,,,0,12,,,,,,
GTB Hospital,450,9,441,Delhi Government,2021-07-05-02-09,,,,50,4,46,4,10,45,29,16,50,4,46
Gupta Multispecialty Hospital,14,0,14,Private,2021-07-04-08-53,,,,,,,2,0,4,0,4,,,
"Gupta Multispecialty Hospital, Vivek Vihar",20,0,20,Private,2021-07-04-09-29,2,0,2,2,0,2,3,23,4,0,4,,,
"HAHC Hospital, Hamdard Nagar",66,0,66,Private,2021-07-04-01-54,4,0,4,6,0,6,1,4,29,12,17,2,0,2
HANDA NURSING HOME,4,0,4,Private,2021-07-04-10-46,,,,,,,1,18,6,4,2,,,
Hardik Hospital,10,0,10,Private,2021-07-04-13-52,4,0,4,4,0,4,1,20,,,,,,
"Holy Family Hospital, Okhla",100,6,94,Private,2021-07-04-08-49,,,,18,1,17,1,0,21,21,0,18,1,17
"IBS Hospital, Lajpat Nagar",5,0,5,Private,2021-07-04-08-10,,,,1,0,1,0,6,9,9,0,1,0,1
"Indian spinal injury centre,Vasant Kunj",20,3,17,Private,2021-07-05-00-29,,,,3,0,3,1,3,10,10,0,3,0,3
"Indira Gandhi Hospital, Dwarka",1241,1,1240,Delhi Government,2021-07-05-02-34,85,0,85,330,0,330,3,0,,,,245,0,245
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",62,6,56,Private,2021-07-04-13-12,7,1,6,12,1,11,10,0,153,143,10,5,0,5
"Irene Hospital, Kalkaji",14,0,14,Private,2021-07-04-09-24,2,0,2,3,0,3,1,0,4,0,4,1,0,1
"Ishan Hospital, Rohini",8,0,8,Private,2021-07-04-08-39,,,,,,,,,4,0,4,,,
"Jain Hospital, Vikas Marg Extn.",5,0,5,Private,2021-07-04-11-35,,,,,,,1,23,4,2,2,,,
